file,element,sub_element,phase,species,oxidation_state,mu0_cal,mu0_kJ,name
10_Chromium.md,Chromium,Chromium,Solid,Cr,0,0.0,0.0,"Chromium, white, cubic"
10_Chromium.md,Chromium,Chromium,Solid,Cr(OH)2,+2,-140500.0,-587.852,"Hydroxide of divalent chromium, Cr(OH)2, yellow"
10_Chromium.md,Chromium,Chromium,Solid,Cr(OH)3,+3,-215300.0,-900.8152,"Chromic hydroxide, Cr(OH)3, green, hexagonal"
10_Chromium.md,Chromium,Chromium,Solid,Cr2O3,+3,-250200.0,-1046.8368,"Chromic oxide, green, orthorhombic"
10_Chromium.md,Chromium,Chromium,Solid,Cr(OH)3.nH2O,+3,-205500.0,-859.812,"Chromic hydroxide, Cr(OH)3.nH2O, green"
10_Chromium.md,Chromium,Chromium,Solid,Cr(OH)4,+4,-242380.0,-1014.1179,"Hydrated chromium dioxide or hydroxide, Cr(OH)4, brown"
10_Chromium.md,Chromium,Chromium,Dissolved,Cr(2+),+2,-42100.0,-176.1464,"Chromous ion, blue-green"
10_Chromium.md,Chromium,Chromium,Dissolved,Cr(3+),+3,-51500.0,-215.476,"Chromic ion, green"
10_Chromium.md,Chromium,Chromium,Dissolved,CrOH(2+),+3,-103000.0,-430.952,"Chromyl ion, green or violet"
10_Chromium.md,Chromium,Chromium,Dissolved,Cr(OH)2(+),+3,-148900.0,-622.9976,Chromyl ion
10_Chromium.md,Chromium,Chromium,Dissolved,CrO2(-),+3,-128090.0,-535.9286,"Chromite ion, green"
10_Chromium.md,Chromium,Chromium,Dissolved,CrO3(3-),+3,-142200.0,-594.9648,"Chromite ion, green"
10_Chromium.md,Chromium,Chromium,Dissolved,H2CrO4,+6,-189200.0,-791.6128,"Chromic acid, orange-red"
10_Chromium.md,Chromium,Chromium,Dissolved,HCrO4(-),+6,-183900.0,-769.4376,"Acid chromate ion, orange"
10_Chromium.md,Chromium,Chromium,Dissolved,CrO4(2-),+6,-176100.0,-736.8024,"Chromate ion, yellow"
10_Chromium.md,Chromium,Chromium,Dissolved,Cr2O7(2-),+6,-315400.0,-1319.6336,"Dichromate ion, orange"
10_Molybdenum.md,Molybdenum,Molybdenum,Solid,Mo,0,0.0,0.0,"Molybdenum, silvery white, b.c.cub."
10_Molybdenum.md,Molybdenum,Molybdenum,Solid,MoO2,+4,-120000.0,-502.08,"Molybdenum dioxide, brown-purple, quad."
10_Molybdenum.md,Molybdenum,Molybdenum,Solid,H2MoO4,+6,-221000.0,-924.664,"Molybdic acid (hydrated MoO3), white or yellowish, hex."
10_Molybdenum.md,Molybdenum,Molybdenum,Dissolved,Mo(3+),+3,-13800.0,-57.7392,"Molybdenous ion, dark olive-green"
10_Molybdenum.md,Molybdenum,Molybdenum,Dissolved,HMoO4(-),+6,-205420.0,-859.4773,"Acid molybdate ion, colourless"
10_Tungsten.md,Tungsten,Tungsten,Solid,W,0,0.0,0.0,"Tungsten, grey, b.c.cub. and cub."
10_Tungsten.md,Tungsten,Tungsten,Solid,WO2,+4,,,"Tungsten dioxide, brown, quad."
10_Tungsten.md,Tungsten,Tungsten,Solid,W2O5,+5,-800000.0,-3347.2,"Pentoxide, blue"
10_Tungsten.md,Tungsten,Tungsten,Solid,WO3,+6,-182170.0,-762.1993,"Tungstic anhydride or trioxide, yellow, monocl."
10_Tungsten.md,Tungsten,Tungsten,Dissolved,WO4(2-),+6,,,"Tungstic ion, colourless"
11_Manganese.md,Manganese,Manganese,Solid,Mn,0,0.0,0.0,"alpha-manganese, light grey, cub."
11_Manganese.md,Manganese,Manganese,Solid,Mn(OH)2,+2,,,"Manganous hydroxide, light pink, rhomb."
11_Manganese.md,Manganese,Manganese,Solid,MnO,+2,,,"Manganous oxide, green, cub."
11_Manganese.md,Manganese,Manganese,Solid,Mn3O4,+2.67,-306000.0,-1280.304,"Mangano-manganic oxide, brown-black, def. quad."
11_Manganese.md,Manganese,Manganese,Solid,Mn2O3,+3,,,"alpha-manganic oxide, black, cub."
11_Manganese.md,Manganese,Manganese,Solid,Mn(OH)3,+3,,,"Manganic hydroxide, brown-black, monocl."
11_Manganese.md,Manganese,Manganese,Solid,MnO2,+4,-111400.0,-466.0976,"beta-manganese dioxide ""pyrolusite"", brown-black, quad."
11_Manganese.md,Manganese,Manganese,Dissolved,Mn++,+2,-54400.0,-227.6096,"Manganous ion, pale pink"
11_Manganese.md,Manganese,Manganese,Dissolved,HMnO2-,+2,-120900.0,-505.8456,Dimanganite ion
11_Manganese.md,Manganese,Manganese,Dissolved,Mn+++,+3,-19600.0,-82.0064,Manganic ion
11_Manganese.md,Manganese,Manganese,Dissolved,MnO4--,+6,-120400.0,-503.7536,"Manganate ion, green"
11_Manganese.md,Manganese,Manganese,Dissolved,MnO4-,+7,-107400.0,-449.3616,"Permanganate ion, purple"
11_Rhenium.md,Rhenium,Rhenium,Solid,Re,0,0.0,0.0,"Rhenium, grey-white, hexagonal"
11_Rhenium.md,Rhenium,Rhenium,Solid,Re2O3 hydr.,+3,-138610.0,-579.9442,"Hydrated sesquioxide, dark brown to black"
11_Rhenium.md,Rhenium,Rhenium,Solid,ReO2,+4,-81000.0,-338.904,"Dioxide, grey-black or dark brown"
11_Rhenium.md,Rhenium,Rhenium,Solid,ReO3,+6,-127300.0,-532.6232,"Trioxide or rhenic anhydride, red or blue, cubic"
11_Rhenium.md,Rhenium,Rhenium,Solid,Re2O7,+7,-22700.0,-94.9768,"Perrhenic anhydride, yellow, monoclinic"
11_Rhenium.md,Rhenium,Rhenium,Dissolved,Re(-),-1,200.0,0.8368,"Rhenide ion, colourless"
11_Rhenium.md,Rhenium,Rhenium,Dissolved,Re(3+),+3,20755.0,86.8389,"Rhenous ion, red"
11_Rhenium.md,Rhenium,Rhenium,Dissolved,ReO4(-),+7,-167100.0,-699.1464,"Perrhenate ion, colourless"
11_Technetium.md,Technetium,Technetium,Solid,Tc,0,0.0,0.0,"Technetium, silvery grey, hex."
11_Technetium.md,Technetium,Technetium,Solid,TcO2,+4,-88290.0,-369.4054,"Technetium dioxide, brown-black"
11_Technetium.md,Technetium,Technetium,Solid,TcO3,+6,-110070.0,-460.5329,Technetium trioxide
11_Technetium.md,Technetium,Technetium,Solid,Tc2O7,+7,-222540.0,-931.1074,"Technetium heptoxide, pale yellow"
11_Technetium.md,Technetium,Technetium,Solid,HTcO4,+7,-282540.0,-1182.1474,"Pertechnetic acid or hydrated heptoxide Tc2O7·H2O, dark red"
11_Technetium.md,Technetium,Technetium,Dissolved,Tc2+,+2,18410.0,77.0274,Technetous ion
11_Technetium.md,Technetium,Technetium,Dissolved,HTcO4,+7,-150455.0,-629.5037,"Pertechnetic acid, yellow, pink or red"
11_Technetium.md,Technetium,Technetium,Dissolved,TcO4(-),+7,-100615.0,-420.9732,"Pertechnetate ion, colourless"
12_Cobalt.md,Cobalt,Cobalt,Solid,Co,0,0.0,0.0,"Cobalt, grey, hex."
12_Cobalt.md,Cobalt,Cobalt,Solid,Co(OH)2,+2,-109000.0,-456.056,"Hydrated cobaltous oxide or cobaltous hydroxide, blue (red), rhomb."
12_Cobalt.md,Cobalt,Cobalt,Solid,CoO,+2,-49000.0,-205.016,"Cobaltous oxide, grey-green, cub."
12_Cobalt.md,Cobalt,Cobalt,Solid,Co3O4,+2.67,-167835.0,-702.2216,"Cobalto-cobaltic oxide, grey-black, cub."
12_Cobalt.md,Cobalt,Cobalt,Solid,Co2O3.3H2O,+3,-285200.0,-1193.2768,"Hydrated cobaltic oxide or cobaltic hydroxide, equivalent to 2Co(OH)3, yellow-brown"
12_Cobalt.md,Cobalt,Cobalt,Solid,CoO2,+4,-11840.0,-49.5386,Cobaltic peroxide
12_Cobalt.md,Cobalt,Cobalt,Dissolved,Co(2+),+2,-12800.0,-53.5552,"Cobaltous ion, pink"
12_Cobalt.md,Cobalt,Cobalt,Dissolved,HCoO2(-),+2,-82970.0,-347.1465,"Dicobaltite ion, blue"
12_Cobalt.md,Cobalt,Cobalt,Dissolved,Co(3+),+3,28900.0,120.9176,Cobaltic ion
12_Iron.md,Iron,Iron,Solid,Fe,0,0.0,0.0,"alpha-Iron, light grey, f.c.cub."
12_Iron.md,Iron,Iron,Solid,Fe(OH)2 (hydr.),+2,-115570.0,-483.5449,"Ferrous hydroxide Fe(OH)2, white, rhomb."
12_Iron.md,Iron,Iron,Solid,Fe3O4 (anh.),"+2, +3",-242400.0,-1014.2016,"Magnetite, black, cub."
12_Iron.md,Iron,Iron,Solid,Fe2O3 (anh.),+3,-177100.0,-740.9864,"Haematite, red-brown, rhomb. or cub."
12_Iron.md,Iron,Iron,Solid,Fe(OH)3 (hydr.),+3,-166000.0,-694.544,"Ferric hydroxide Fe(OH)3, red-brown, f.c.cub."
12_Iron.md,Iron,Iron,Dissolved,Fe2+,+2,-20300.0,-84.9352,"Ferrous ion, green"
12_Iron.md,Iron,Iron,Dissolved,HFeO2(-),+2,-90627.0,-379.1834,"Dihypoferrite ion, green"
12_Iron.md,Iron,Iron,Dissolved,Fe3+,+3,-2530.0,-10.5855,"Ferric ion, colourless"
12_Iron.md,Iron,Iron,Dissolved,FeOH2+,+3,-55910.0,-233.9274,"Ferric hydroxo ion, colourless"
12_Iron.md,Iron,Iron,Dissolved,Fe(OH)2(+),+3,-106200.0,-444.3408,"Dihydroxo ferric ion, colourless"
12_Iron.md,Iron,Iron,Dissolved,FeO4(2-),+6,-111685.0,-467.29,"Ferrate ion, violet"
12_Nickel.md,Nickel,Nickel,Solid,Ni,0,0.0,0.0,"Nickel, silvery white, f.c.cub."
