export,config,model,effort,run,level,prompt_id,prompt,chat_id,segment,trigger,start_utc,end_utc,duration_s,wait_before_s,user_wait_s,thinking_s,text_s,tool_s,tool_calls,stop_reason,message_uuid
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_1,L1_1 Nickel-glycine Pourbaix diagram and complex stability,f9fbd3ca-47f8-4716-9453-ec85f3d90474,1,prompt,2026-09-17T02:47:50.084613+00:00,2026-09-17T03:06:13.232637+00:00,1103.1,-0.0,,800.7,6.9,247.5,26,end_turn,01a0ad43-5eeb-7274-9db2-26b59357a38e
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,effort-medium_run1,L1,L1_1,L1_1 Nickel-glycine Pourbaix diagram and complex stability,6737aedc-d8be-41a3-8988-a7ee9af3352e,1,prompt,2026-09-17T02:40:38.570990+00:00,2026-09-17T02:44:12.390815+00:00,213.8,-0.0,,72.5,2.3,120.1,4,end_turn,01a0ad3c-c960-7971-9dd3-610ea6273248
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_3,L1_3 Copper Pourbaix diagram with ammonia complexes,6b25b09e-7059-4285-adff-89be267d42df,1,prompt,2026-09-17T04:46:56.371954+00:00,2026-09-17T05:02:02.945807+00:00,906.6,-0.0,,752.4,4.5,138.5,10,end_turn,01a0adb0-6beb-7c66-9e91-c0813d56a833
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,effort-medium_run1,L1,L1_3,L1_3 Copper Pourbaix diagram with ammonia complexes,f8b0d59c-8189-45ea-8247-c11e9ba9180d,1,prompt,2026-09-17T04:41:18.831526+00:00,2026-09-17T04:44:05.312314+00:00,166.5,-0.0,,86.3,1.0,58.9,6,end_turn,01a0adab-441e-70e1-ab68-0b61e2bf2b25
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_4,L1_4 Fe(III) speciation with EDTA versus citrate buffering,7012f212-cd2d-444f-bd97-b31e1faef6ee,1,prompt,2026-09-17T06:51:08.228473+00:00,2026-09-17T07:04:27.143822+00:00,798.9,-0.0,,590.7,10.2,161.3,14,end_turn,01a0ae22-1d57-718e-beb9-f765d22f41ad
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,effort-medium_run1,L1,L1_4,L1_4 Fe(III) speciation with EDTA versus citrate buffering,ed24a83c-f635-4515-ba06-d760c13f59a3,1,prompt,2026-09-17T06:46:22.677982+00:00,2026-09-17T06:47:34.265299+00:00,71.6,-0.0,,52.9,18.7,0,0,end_turn,01a0ae1d-bf28-7f3c-bc75-073faada1468
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_9,L1_9 Copper speciation diagram with ammonia,e6b065d5-f62d-4719-b981-a08f61ce39ed,1,prompt,2026-09-17T05:07:29.119034+00:00,2026-09-17T05:16:57.705563+00:00,568.6,-0.0,,432.5,5.3,101.9,9,end_turn,01a0adc3-3bea-74b9-aada-a33e81531d42
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,effort-medium_run1,L1,L1_9,L1_9 Copper speciation diagram with ammonia,f160436f-619a-4ea1-b645-d4eb3bec4fb2,1,prompt,2026-09-17T05:02:44.795644+00:00,2026-09-17T05:06:19.128141+00:00,214.3,-0.0,,144.5,2.2,45.4,5,end_turn,01a0adbe-e2ac-7c14-867d-d480f3c42732
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,1,prompt,2026-09-17T06:07:32.964924+00:00,2026-09-17T06:31:31.635139+00:00,1438.7,-0.0,,1054.8,0.6,341.8,27,max_tokens,01a0adfa-3615-7905-8185-329232687ad4
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,fa946bef-32b0-42da-b4ed-0267ac179087,2,auto continue,2026-09-17T06:33:02.469549+00:00,2026-09-17T06:38:35.464432+00:00,333.0,90.8,,173.6,25.4,98.6,18,tool_use_limit,01a0ae10-30cd-7797-b6b0-482ab0ddd3d7
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,effort-medium_run1,L1,L1_10,L1_10 Pourbaix diagram for Cu(II) and Fe(III) with ligands,42b505a3-8859-4b22-8e29-2c1318648cb7,1,prompt,2026-09-17T03:57:52.682938+00:00,2026-09-17T04:04:56.902230+00:00,424.2,-0.0,,191.9,32.6,174.6,7,end_turn,01a0ad83-7de3-7605-891e-11b4b24b3f32
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_11,L1_11 Pourbaix diagram for Cu-Fe electrodeposition electrolyte,9c6a24e7-1883-43fa-87f0-303f64b33b78,1,prompt,2026-09-17T03:18:24.163907+00:00,2026-09-17T03:40:54.615239+00:00,1350.5,-0.0,,1106.0,1.7,170.2,13,max_tokens,01a0ad5f-5c66-799e-aa1e-77159681f3cc
Fable5_1,Fable5_1_max,claude-fable-5-1,max,effort-max_run1,L1,L1_11,L1_11 Pourbaix diagram for Cu-Fe electrodeposition electrolyte,9c6a24e7-1883-43fa-87f0-303f64b33b78,2,typed continue,2026-09-17T03:45:08.567858+00:00,2026-09-17T03:51:02.607394+00:00,354.0,254.0,253.0,94.8,10.3,216.2,13,end_turn,01a0ad77-cc24-7b14-8eb3-c6595d7bd7a0
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,effort-medium_run1,L1,L1_11,L1_11 Pourbaix diagram for Cu-Fe electrodeposition electrolyte,e8126c4f-1eb3-4c27-8cbd-f47c74dacb02,1,prompt,2026-09-17T03:07:24.737276+00:00,2026-09-17T03:12:22.431761+00:00,297.7,-0.0,,119.7,30.8,124.4,6,end_turn,01a0ad55-4a15-7706-b078-4335e6d23613
Opus4_7,Opus4_7_max,claude-opus-4-7,max,effort-max_run1,L1,L1_1,L1_1 Nickel-glycine Pourbaix diagram and complex stability,16721fbc-2e54-4268-a026-05727d9cb506,1,prompt,2026-09-17T08:39:04.236108+00:00,2026-09-17T08:49:41.906638+00:00,637.7,0.5,,571.2,1.4,65.1,1,max_tokens,01a0ae84-e55a-7dcc-92a9-251731692158
Opus4_7,Opus4_7_max,claude-opus-4-7,max,effort-max_run1,L1,L1_1,L1_1 Nickel-glycine Pourbaix diagram and complex stability,16721fbc-2e54-4268-a026-05727d9cb506,2,auto continue,2026-09-17T08:50:12.632337+00:00,2026-09-17T08:51:10.247529+00:00,57.6,30.7,,9.9,21.7,10.4,6,end_turn,01a0ae8e-b0a8-72bf-b1a2-4808e920676a
Opus4_7,Opus4_7_high,claude-opus-4-7,high,effort-high_run1,L1,L1_1,L1_1 Nickel-glycine Pourbaix diagram and complex stability,df8d4be7-dfef-4c0e-acf9-72d989ff1930,1,prompt,2026-09-17T07:43:02.108064+00:00,2026-09-17T07:48:16.477413+00:00,314.4,0.0,,221.0,29.8,52.5,5,end_turn,01a0ae51-91b5-72dd-a44d-31bb0ff1baf9
Opus4_7,Opus4_7_max,claude-opus-4-7,max,effort-max_run1,L1,L1_2,L1_2 Fe(III) and Cu(II) speciation with citrate and chloride,6dcde149-5113-4b76-b86e-b610aa83578c,1,prompt,2026-09-17T08:53:39.221658+00:00,2026-09-17T09:07:17.937457+00:00,818.7,0.5,,350.8,8.1,247.9,29,max_tokens,01a0ae92-43b4-7e41-bfd2-424fcde64483
Opus4_7,Opus4_7_max,claude-opus-4-7,max,effort-max_run1,L1,L1_2,L1_2 Fe(III) and Cu(II) speciation with citrate and chloride,6dcde149-5113-4b76-b86e-b610aa83578c,2,typed continue,2026-09-17T09:07:35.649150+00:00,2026-09-17T09:10:59.087631+00:00,203.4,17.7,16.7,0,17.5,177.6,2,end_turn,01a0ae9e-f471-7607-a54e-7bfc88e34e49
Opus4_7,Opus4_7_high,claude-opus-4-7,high,effort-high_run1,L1,L1_2,L1_2 Fe(III) and Cu(II) speciation with citrate and chloride,9fb3208c-ca40-49d0-9a3d-6998065c55b7,1,prompt,2026-09-17T07:43:41.547805+00:00,2026-09-17T07:52:10.958136+00:00,509.4,0.7,,274.4,62.2,142.8,10,end_turn,01a0ae52-3314-79cb-994a-ca2d7c1be6a2
Opus4_7,Opus4_7_max,claude-opus-4-7,max,effort-max_run1,L1,L1_3,L1_3 Copper Pourbaix diagram with ammonia complexes,7627dbed-0426-459a-988d-b199456fffe0,1,prompt,2026-09-17T08:54:10.350983+00:00,2026-09-17T09:05:17.511798+00:00,667.2,0.5,,667.2,0,0,0,max_tokens,01a0ae92-be86-7dae-ac2b-77a8332f3976
Opus4_7,Opus4_7_max,claude-opus-4-7,max,effort-max_run1,L1,L1_3,L1_3 Copper Pourbaix diagram with ammonia complexes,7627dbed-0426-459a-988d-b199456fffe0,2,typed continue,2026-09-17T09:07:37.076433+00:00,2026-09-17T09:19:05.364868+00:00,688.3,139.6,139.1,682.9,0,1.0,1,max_tokens,01a0ae9f-091d-77e3-96d2-0983a14c7b81
Opus4_7,Opus4_7_max,claude-opus-4-7,max,effort-max_run1,L1,L1_3,L1_3 Copper Pourbaix diagram with ammonia complexes,7627dbed-0426-459a-988d-b199456fffe0,3,typed continue,2026-09-17T09:19:23.874497+00:00,2026-09-17T09:30:29.252703+00:00,665.4,18.5,18.5,665.4,0,0,0,max_tokens,01a0aea9-ca0b-7bfc-b3b1-7893a75f46c6
Opus4_7,Opus4_7_max,claude-opus-4-7,max,effort-max_run1,L1,L1_3,L1_3 Copper Pourbaix diagram with ammonia complexes,7627dbed-0426-459a-988d-b199456fffe0,4,typed continue,2026-09-17T09:30:44.946138+00:00,2026-09-17T09:40:19.290085+00:00,574.3,15.7,15.4,129.5,27.0,396.5,8,end_turn,01a0aeb4-375e-7e99-a528-c403be57f425
Opus4_7,Opus4_7_high,claude-opus-4-7,high,effort-high_run1,L1,L1_3,L1_3 Copper Pourbaix diagram with ammonia complexes,9c2ab399-7ef6-4a4a-ae04-aefbf8591269,1,prompt,2026-09-17T07:43:41.714011+00:00,2026-09-17T07:52:44.517915+00:00,542.8,0.5,,369.9,39.6,106.5,12,end_turn,01a0ae52-33db-7dcd-a14a-525a3508a7e6
Opus4_7,Opus4_7_max,claude-opus-4-7,max,effort-max_run1,L1,L1_4,L1_4 Fe(III) speciation with EDTA versus citrate buffering,4277a296-991d-4b85-b26a-38731db36cb3,1,prompt,2026-09-17T08:54:52.972200+00:00,2026-09-17T09:05:38.596677+00:00,645.6,0.1,,599.3,1.4,32.9,3,max_tokens,01a0ae93-5fb9-7f7f-b0ae-bbc43c30ab8c
Opus4_7,Opus4_7_max,claude-opus-4-7,max,effort-max_run1,L1,L1_4,L1_4 Fe(III) speciation with EDTA versus citrate buffering,4277a296-991d-4b85-b26a-38731db36cb3,2,auto continue,2026-09-17T09:06:09.651673+00:00,2026-09-17T09:06:50.933451+00:00,41.3,31.1,,9.3,12.3,9.9,3,end_turn,01a0ae9d-49d3-73f1-994e-b844126e625a
Opus4_7,Opus4_7_high,claude-opus-4-7,high,effort-high_run1,L1,L1_4,L1_4 Fe(III) speciation with EDTA versus citrate buffering,f34b237d-95c9-4362-9798-46623e28a4e8,1,prompt,2026-09-17T07:50:05.314344+00:00,2026-09-17T07:51:10.894369+00:00,65.6,0.0,,38.8,26.8,0,0,end_turn,01a0ae58-0db2-71e0-a405-4b636d87e732
