export,config,model,effort,level,prompt_id,prompt_number,in_comparison,tool,category,calls,time_s,errors,share_of_run_calls
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,bash_tool,commands,13,228.5,0,0.5
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,view,inspect files/images,6,7.6,0,0.231
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,web_search,literature search,4,7.1,0,0.154
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,web_fetch,literature search,1,2.3,0,0.038
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,visualize:read_me,present results,1,0.9,0,0.038
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_1,1,True,Artifact,present results,1,1.2,0,0.038
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,L1,L1_1,1,True,bash_tool,commands,2,118.0,0,0.5
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,L1,L1_1,1,True,view,inspect files/images,1,1.3,0,0.25
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,L1,L1_1,1,True,present_files,present results,1,0.8,0,0.25
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_3,3,True,bash_tool,commands,5,56.0,0,0.5
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_3,3,True,create_file,build/edit scripts,1,77.6,0,0.1
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_3,3,True,view,inspect files/images,3,4.0,0,0.3
Fable5_1,Fable5_1_max,claude-fable-5-1,max,L1,L1_3,3,True,present_files,present results,1,0.8,0,0.1
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,L1,L1_3,3,True,bash_tool,commands,3,55.7,0,0.5
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,L1,L1_3,3,True,view,inspect files/images,2,2.5,0,0.333
Fable5_1,Fable5_1_medium,claude-fable-5-1,medium,L1,L1_3,3,True,present_files,present results,1,0.8,0,0.167
