prompt_id,level,config,series,total_wall_s,active_response_s,continuation_wait_s,solver_current_s,solver_all_history_command_s,excluded_interrupted_solver_or_downtime_s,non_solver_wall_s,non_solver_wall_min,non_solver_active_s,non_solver_active_min,timing_kind,upper_bound,estimated,recorded_status,plot_in_answer,plot_anywhere,solver_anywhere,web_flags,source_archive,source_member,source_sha256,timing_notes,plotted_non_solver_s,plotted_non_solver_min,excluded_between_turns_s,timestamp_clock_skew_s,final_stop_reason,export_has_truncation,background_solver_lower_bound_s,plot_evidence,untimed_shell_commands,alternate_messages,fw_lc1_min,fw_lc2_min,fw_lc3_min,fw_ld_min,fw_other_min,web_thinking_min,web_code_tool_input_min,web_answer_writing_min,web_non_solver_tools_min,web_other_overhead_min,stack_total_min
L1_1,L1,framework,Our framework,13602.171546459198,,0,2419.6,2419.6,10372.81259894371,809.7589475154878,13.495982458591463,809.7589475154878,13.495982458591463,reconstructed,False,True,complete,,,True,,_benchmark\L1_1-L1_5.zip,L1_1_Ni_glycine_pourbaix_2D/manifest.json,5460e412980248e92bd3de7d759e8ec850d4f616bb099996866da3bcaf8b9f39,Resumed run: reconstruct preparation + restart preludes + final remainder; excludes interrupted solver windows and unmeasured downtime.,809.7589475154878,13.495982458591463,0,,,,,,,,0.7255333333333333,5.73425,1.0719166666666666,0.4,5.5642824585833335,0.0,0.0,0.0,0.0,0.0,13.495982458583335
L1_2,L1,framework,Our framework,1254.819,,0,234.1,234.1,0.0,1020.7189999999999,17.011983333333333,1020.7189999999999,17.011983333333333,recorded,False,False,complete,,,True,,_benchmark\L1_1-L1_5.zip,L1_2_FeCu_citrate_chloride_joint/manifest.json,3f69064eb8d15c289d4943dffa83621f26b29b79a63dcf58a2eda7e94452cc1b,,1020.7189999999999,17.011983333333333,0,,,,,,,,1.6134833333333334,9.310183333333333,0.9614499999999999,0.4083333333333333,4.718533333333334,0.0,0.0,0.0,0.0,0.0,17.011983333333333
L1_3,L1,framework,Our framework,1708.671,,0,1240.8,1240.8,0.0,467.8710000000001,7.797850000000001,467.8710000000001,7.797850000000001,recorded,False,False,complete,,,True,,_benchmark\L1_1-L1_5.zip,L1_3_Cu_ammonia_pourbaix_2D/manifest.json,8d9a61722de594772919737064634d4a464b983f05300a1bdd3b6b80b88041d2,,467.8710000000001,7.797850000000001,0,,,,,,,,1.1104666666666667,2.1988,0.6789333333333333,0.425,3.38465,0.0,0.0,0.0,0.0,0.0,7.79785
L1_4,L1,framework,Our framework,1100.438,,0,3.7,3.7,0.0,1096.738,18.27896666666667,1096.738,18.27896666666667,recorded,False,False,validation_incomplete,,,True,,_benchmark\L1_1-L1_5.zip,L1_4_Fe_EDTA_vs_citrate/manifest.json,a8d1b9ed6988dd072f674fb52ad1d21b63ef662792714453822123c3149003e0,,1096.738,18.27896666666667,0,,,,,,,,2.5516666666666667,10.5445,1.5582166666666666,0.7833333333333333,2.84125,0.0,0.0,0.0,0.0,0.0,18.278966666666665
L1_5,L1,framework,Our framework,1184.964,,0,7.9,7.9,0.0,1177.0639999999999,19.61773333333333,1177.0639999999999,19.61773333333333,recorded,False,False,complete,,,True,,_benchmark\L1_1-L1_5.zip,L1_5_Cu_EDTA_vs_NTA/manifest.json,a04ca8e234d486cc9979d3d0e572655dc749166d8b8b6c3ab1acfeca0f781e06,,1177.0639999999999,19.61773333333333,0,,,,,,,,1.6455666666666666,10.790166666666666,1.5720999999999998,0.9433333333333334,4.666566666666667,0.0,0.0,0.0,0.0,0.0,19.617733333333334
L1_6,L1,framework,Our framework,9283.715,,0,7988.7,7988.7,0.0,1295.0150000000003,21.58358333333334,1295.0150000000003,21.58358333333334,recorded,False,False,complete,,,True,,_benchmark\L1_6-L1_7.zip,L1_6_Cu_vs_Ag_chloride_redox/manifest.json,f184b4c72dacdb3a4e806dc8958f3d9522030a5d246ff645d47c7c4ac46a06dc,,1295.0150000000003,21.58358333333334,0,,,,,,,,1.8861833333333335,9.702733333333333,1.4236833333333334,0.6950000000000001,7.875983333333334,0.0,0.0,0.0,0.0,0.0,21.583583333333333
L1_7,L1,framework,Our framework,952.711,,0,7.5,7.5,0.0,945.211,15.753516666666666,945.211,15.753516666666666,recorded,False,False,complete,,,True,,_benchmark\L1_6-L1_7.zip,L1_7_CuZn_glycine_ammonia_joint/manifest.json,53117f587193d7b35ab8bc5faed588a6dcb4f0bbd11394147c1a13ca9944a64f,,945.211,15.753516666666666,0,,,,,,,,1.3527333333333333,8.48945,1.3203,0.7066666666666667,3.8843666666666667,0.0,0.0,0.0,0.0,0.0,15.753516666666666
L1_8,L1,framework,Our framework,6004.199,,0,4021.5,4021.5,0.0,1982.6989999999996,33.04498333333333,1982.6989999999996,33.04498333333333,recorded,False,False,complete,,,True,,_benchmark\L1_8-L1_10.zip,L1_8_CuZnFe_chloride_pourbaix_triptych/manifest.json,60b81f6658e6af62cc4e0c34aa831263c329759e0a482fa7c62686c563b28871,,1982.6989999999996,33.04498333333333,0,,,,,,,,2.7033666666666667,16.942866666666667,1.88595,1.0266666666666666,10.486133333333333,0.0,0.0,0.0,0.0,0.0,33.044983333333334
L1_9,L1,framework,Our framework,390.096,,0,1.0,1.0,0.0,389.096,6.484933333333333,389.096,6.484933333333333,recorded,False,False,complete,,,True,,_benchmark\L1_8-L1_10.zip,L1_9_Cu_ammonia_speciation_E0265/manifest.json,e96da87a01853dd6beace3e5076bb388ce51b87613fd390b427bb402f578b4f9,,389.096,6.484933333333333,0,,,,,,,,1.1410333333333333,2.8685666666666667,0.7034,0.39333333333333337,1.3785999999999998,0.0,0.0,0.0,0.0,0.0,6.484933333333333
L1_10,L1,framework,Our framework,1379.156,,0,535.3,535.3,0.0,843.856,14.064266666666667,843.856,14.064266666666667,recorded,False,False,validation_incomplete,,,True,,_benchmark\L1_8-L1_10.zip,L1_10_CuFe_cit_gly_Cl_NH3_pourbaix/manifest.json,03cb17a55d27126ad3bbbcbd261cc7b372977d46bc39733a3ca3a01726d899c1,,843.856,14.064266666666667,0,,,,,,,,3.61795,5.58,0.8891166666666667,0.47333333333333333,3.5038666666666667,0.0,0.0,0.0,0.0,0.0,14.064266666666667
L1_11,L1,framework,Our framework,20332.087,,0,19418.1,19418.1,0.0,913.987000000001,15.233116666666684,913.987000000001,15.233116666666684,recorded,False,False,complete,,,True,,_benchmark\L1_11_CuFe_cit_gly_Cl_NH3_pourbaix_hydr.part001-of-003.outputs.zip,L1_11_CuFe_cit_gly_Cl_NH3_pourbaix_hydr/manifest.json,395c9b842afae2a39316f3ce059b3f69fed221aff1e7b83d914cb02060547190,,913.987000000001,15.233116666666684,0,,,,,,,,2.0415833333333335,7.781616666666666,0.7733333333333333,0.41833333333333333,4.21825,0.0,0.0,0.0,0.0,0.0,15.233116666666668
L2_1,L2,framework,Our framework,2612.624,,0,8.8,8.8,0.0,2603.8239999999996,43.39706666666666,2603.8239999999996,43.39706666666666,recorded,False,False,complete,,,True,,_benchmark\L2_1-L2_8.zip,L2_1_CuZnNi_chelator_survey/manifest.json,352a143734744c3f4f2f72f3d1a16f9f826714fe694f663e7f5c0ee63c327a2a,,2603.8239999999996,43.39706666666666,0,,,,,,,,3.815316666666667,29.479283333333335,3.0599333333333334,1.125,5.917533333333334,0.0,0.0,0.0,0.0,0.0,43.39706666666667
L2_2,L2,framework,Our framework,2707.994,,0,7.0,7.0,0.0,2700.994,45.01656666666667,2700.994,45.01656666666667,recorded,False,False,validation_incomplete,,,True,,_benchmark\L2_1-L2_8.zip,L2_2_FeCaMg_sequestrant_survey/manifest.json,c7c2b31297776a6f3e8a64675f0899ce9c498dc292587663eea3365805ab1ab7,,2700.994,45.01656666666667,0,,,,,,,,4.921366666666667,27.026400000000002,4.849500000000001,1.1266666666666665,7.092633333333334,0.0,0.0,0.0,0.0,0.0,45.01656666666667
L2_3,L2,framework,Our framework,1649.259,,0,4.4,4.4,0.0,1644.859,27.414316666666664,1644.859,27.414316666666664,recorded,False,False,execution_failed,,,True,,_benchmark\L2_1-L2_8.zip,L2_3_PbZnCa_chelation_survey/manifest.json,42e6b6500c249589bd6ea7c2820633db9913bfcfc2b7f3071f2612ed44b18794,,1644.859,27.414316666666664,0,,,,,,,,5.684083333333334,13.105066666666666,1.7729333333333335,1.025,5.827233333333334,0.0,0.0,0.0,0.0,0.0,27.414316666666668
L2_4,L2,framework,Our framework,2575.319,,0,105.69999999999999,105.69999999999999,0.0,2469.619,41.16031666666667,2469.619,41.16031666666667,recorded,False,False,complete,,,True,,_benchmark\L2_1-L2_8.zip,L2_4_CoNiCu_amino_acid_survey/manifest.json,a7f8271bc3c87a52d466bd88939ff457e51f84e1de07a899a4b51a55de4e91db,,2469.619,41.16031666666667,0,,,,,,,,3.8434166666666667,26.483433333333334,3.08445,1.3716666666666666,6.377350000000001,0.0,0.0,0.0,0.0,0.0,41.16031666666667
L2_5,L2,framework,Our framework,1380.083,,0,9.4,9.4,0.0,1370.683,22.844716666666667,1370.683,22.844716666666667,recorded,False,False,validation_incomplete,,,True,,_benchmark\L2_1-L2_8.zip,L2_5_Ni_antiscale_ligand_rank/manifest.json,d1cca5ee901de03b7fdeac32c8ea939da77cd1cefc5b9bd8d5a0b4d4d3a0333b,,1370.683,22.844716666666667,0,,,,,,,,1.7945333333333333,11.8163,3.0383166666666668,1.1283333333333334,5.067233333333333,0.0,0.0,0.0,0.0,0.0,22.844716666666667
L2_6,L2,framework,Our framework,4474.09,,0,35.8,35.8,0.0,4438.29,73.9715,4438.29,73.9715,recorded,False,False,timed_out,,,True,,_benchmark\L2_1-L2_8.zip,L2_6_CuNiZn_chelator_matrix_3x3/manifest.json,8f27d43a0c1f9f43954e5377d75569f38396a63254307279d29f291a57c8430a,,4438.29,73.9715,0,,,,,,,,5.671216666666667,43.76636666666666,6.4629,3.253333333333333,14.817683333333333,0.0,0.0,0.0,0.0,0.0,73.97149999999999
