id,labels_json,btype,boundary_ids_json,is_domain_edge,geometry_json
0,"[0, 1, 3]",junction,[],False,"{""E_V"": -0.484375, ""pH"": 6.925000000000001}"
1,"[1, 2, 3]",junction,[],False,"{""E_V"": -0.05312499999999993, ""pH"": 5.112500000000001}"
2,"[2, 3, 5]",junction,[],False,"{""E_V"": 0.771875, ""pH"": 0.5625000000000001}"
3,"[0, 1]",junction,[],True,"{""E_V"": -0.9031250000000001, ""pH"": 14.0}"
4,"[0, 3]",junction,[],True,"{""E_V"": -0.484375, ""pH"": 0.0}"
5,"[1, 2]",junction,[],True,"{""E_V"": -0.578125, ""pH"": 14.0}"
6,"[2, 4]",junction,[],True,"{""E_V"": 0.34687500000000004, ""pH"": 14.0}"
7,"[2, 4]",junction,[],True,"{""E_V"": 1.5, ""pH"": 2.3125}"
8,"[2, 5]",junction,[],True,"{""E_V"": 1.5, ""pH"": 0.4625}"
9,"[3, 5]",junction,[],True,"{""E_V"": 0.771875, ""pH"": 0.0}"
