id,labels_json,btype,boundary_ids_json,is_domain_edge,geometry_json
0,"[0, 1, 3]",junction,[],False,"{""E_V"": -0.47875, ""pH"": 6.843750000000001}"
1,"[1, 2, 3]",junction,[],False,"{""E_V"": -0.047500000000000035, ""pH"": 5.025}"
2,"[2, 3, 5]",junction,[],False,"{""E_V"": 0.77, ""pH"": 0.5125}"
3,"[0, 1]",junction,[],True,"{""E_V"": -0.90125, ""pH"": 14.0}"
4,"[0, 3]",junction,[],True,"{""E_V"": -0.47875, ""pH"": 0.0}"
5,"[1, 2]",junction,[],True,"{""E_V"": -0.5775000000000001, ""pH"": 14.0}"
6,"[2, 4]",junction,[],True,"{""E_V"": 0.34625000000000006, ""pH"": 14.0}"
7,"[2, 4]",junction,[],True,"{""E_V"": 1.5, ""pH"": 2.3000000000000007}"
8,"[2, 5]",junction,[],True,"{""E_V"": 1.5, ""pH"": 0.41250000000000003}"
9,"[3, 5]",junction,[],True,"{""E_V"": 0.77, ""pH"": 0.0}"
